Bridge of Spies
"The 5,000 Fingers of Dr. T"
Kiss Me Kate
High Noon
Ivanhoe
Miracle of Fatima
The Thief
Viva Zapata!
Hans Christian Andersen
The Jazz Singer
The Medium
Singin' in the Rain
With a Song in My Heart
David and Bathsheba
Death of a Salesman
A Place in the Sun
Quo Vadis
A Streetcar Named Desire
Alice in Wonderland
An American in Paris
The Great Caruso
On the Riviera
Show Boat
All about Eve
The Flame and the Arrow
No Sad Songs for Me
Samson and Delilah
Sunset Blvd.
Annie Get Your Gun
Cinderella
I'll Get By
Three Little Words
The West Point Story
Beyond the Forest
Champion
The Heiress
Jolson Sings Again
Look for the Silver Lining
On the Town
Hamlet
Joan of Arc
Johnny Belinda
The Red Shoes
The Snake Pit
Easter Parade
The Emperor Waltz
The Pirate
Romance on the High Seas
When My Baby Smiles at Me
The Bishop's Wife
Captain from Castile
A Double Life
Forever Amber
Life with Father
Fiesta
Mother Wore Tights
My Wild Irish Rose
Road to Rio
Song of the South
Anna and the King of Siam
The Best Years of Our Lives
Henry V
Humoresque
The Killers
Blue Skies
Centennial Summer
The Harvey Girls
The Jolson Story
Night and Day
The Bells of St. Mary's
Brewster's Millions
Captain Kidd
The Enchanted Cottage
Flame of Barbary Coast
G. I. Honeymoon
G. I. Joe
Guest in the House
Guest Wife
The Keys of the Kingdom
The Lost Weekend
Love Letters
The Man Who Walked Alone
"Objective, Burma!"
Paris--Underground
A Song to Remember
The Southerner
Spellbound
This Love of Ours
The Valley of Decision
The Woman in the Window
Anchors Aweigh
Belle of the Yukon
Can't Help Singing
Hitchhike to Happiness
Incendiary Blonde
Rhapsody in Blue
State Fair
Sunbonnet Sue
The Three Caballeros
Tonight and Every Night
Why Girls Leave Home
Wonder Man
Address Unknown
The Adventures of Mark Twain
The Bridge of San Luis Rey
Casanova Brown
Christmas Holiday
Double Indemnity
The Fighting Seabees
The Hairy Ape
It Happened Tomorrow
Jack London
Kismet
None but the Lonely Heart
The Princess and the Pirate
Since You Went Away
Summer Storm
Three Russian Girls
Up in Mabel's Room
Voice in the Wind
Wilson
Woman of the Town
Brazil
Cover Girl
Higher and Higher
Hollywood Canteen
Irish Eyes Are Smiling
Knickerbocker Holiday
Lady in the Dark
"Lady, Let's Dance"
Meet Me in St. Louis
The Merry Monahans
Minstrel Man
Sensations of 1945
Song of the Open Road
Up in Arms
The Amazing Mrs. Holliday
Casablanca
Commandos Strike at Dawn
The Fallen Sparrow
For Whom the Bell Tolls
Hangmen Also Die
Hi Diddle Diddle
In Old Oklahoma
Johnny Come Lately
The Kansan
Lady of Burlesque
Madame Curie
The Moon and Sixpence
The North Star
The Song of Bernadette
Victory through Air Power
Coney Island
Hit Parade of 1943
Phantom of the Opera
Saludos Amigos
The Sky's the Limit
Something to Shout About
Stage Door Canteen
Star Spangled Rhythm
This Is the Army
Thousands Cheer
Arabian Nights
Bambi
The Black Swan
The Corsican Brothers
Flying Tigers
The Gold Rush
I Married a Witch
Joan of Paris
Jungle Book
Klondike Fury
"Now, Voyager"
The Pride of the Yankees
Random Harvest
The Shanghai Gesture
Silver Queen
"Take a Letter, Darling"
The Talk of the Town
To Be or Not to Be
Flying with Music
For Me and My Gal
Holiday Inn
It Started with Eve
Johnny Doughboy
My Gal Sal
Yankee Doodle Dandy
You Were Never Lovelier
All That Money Can Buy
Back Street
Ball of Fire
Cheers for Miss Bishop
Citizen Kane
Dr. Jekyll and Mr. Hyde
Hold Back the Dawn
How Green Was My Valley
King of the Zombies
Ladies in Retirement
The Little Foxes
Lydia
Mercy Island
Sergeant York
So Ends Our Night
Sundown
Suspicion
Tanks a Million
That Uncertain Feeling
This Woman Is Mine
All-American Co-Ed
Birth of the Blues
Buck Privates
The Chocolate Soldier
Dumbo
Ice-Capades
The Strawberry Blonde
Sun Valley Serenade
Sunny
You'll Never Get Rich
Arizona
The Dark Command
The Fight for Life
The Great Dictator
The House of the Seven Gables
The Howards of Virginia
The Letter
The Long Voyage Home
The Mark of Zorro
My Favorite Wife
North West Mounted Police
One Million B.C.
Our Town
Pinocchio
Rebecca
The Thief of Bagdad
Waterloo Bridge
"Arise, My Love"
Hit Parade of 1941
Irene
Our Town
The Sea Hawk
Second Chorus
Spring Parade
Strike Up the Band
Tin Pan Alley
Dark Victory
Eternally Yours
Golden Boy
Gone with the Wind
Gulliver's Travels
The Man in the Iron Mask
Man of Conquest
Nurse Edith Cavell
Of Mice and Men
The Rains Came
The Wizard of Oz
Wuthering Heights
Babes in Arms
First Love
The Great Victor Herbert
The Hunchback of Notre Dame
Intermezzo
Mr. Smith Goes to Washington
Of Mice and Men
The Private Lives of Elizabeth and Essex
She Married a Cop
Stagecoach
Swanee River
They Shall Have Music
Way Down South
The Adventures of Robin Hood
Army Girl
Block-Heads
Blockade
Breaking the Ice
The Cowboy and the Lady
If I Were King
Marie Antoinette
Pacific Liner
Suez
The Young in Heart
Alexander's Ragtime Band
Carefree
Girls' School
The Goldwyn Follies
Jezebel
Mad about Music
Storm over Bengal
Sweethearts
There Goes My Heart
Tropic Holiday
The Young in Heart
The Hurricane
In Old Chicago
The Life of Emile Zola
Lost Horizon
Make a Wish
Maytime
One Hundred Men and a Girl
Portia on Trial
The Prisoner of Zenda
Quality Street
Snow White and the Seven Dwarfs
Something to Sing About
Souls at Sea
Way Out West
Anthony Adverse
The Charge of the Light Brigade
The Garden of Allah
The General Died at Dawn
Winterset
Captain Blood
The Informer
Mutiny on the Bounty
Peter Ibbetson
The Gay Divorcee
The Lost Patrol
One Night of Love
